layer,query_index,rank,token_index,row,col,attention_mass,map_path
1,144,19,2860,39,52,0.005562994629144669,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,20,3006,41,54,0.005432899110019207,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
2,144,1,3652,50,52,0.022085128352046013,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,2,3508,48,52,0.01410613115876913,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,3,3581,49,53,0.013599386438727379,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,4,3867,53,51,0.013198064640164375,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,5,3579,49,51,0.010575450025498867,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,6,3510,48,54,0.009993058629333973,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,7,3583,49,55,0.006676938384771347,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,8,3003,41,51,0.005714796017855406,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,9,3223,44,55,0.0049340082332491875,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,10,3363,46,51,0.004871452692896128,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,11,3582,49,54,0.004814759828150272,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,12,3511,48,55,0.0045437561348080635,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,13,3149,43,53,0.004363114479929209,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,14,3654,50,54,0.004342757165431976,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,15,3295,45,55,0.0042902329005301,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
