layer,prompt_token_index,target_desc,pathway_mean,pathway_max,top_token_index,top_row,top_col,cosine_attn_regiongrad,pearson_attn_regiongrad,npy_path,png_path
5,15,mean_mask_logit,2.4952164778824226e-08,1.1379815987311304e-06,4304,59,56,0.4244177798956686,-0.008761537866759591,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_15_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_15_to_mean_mask_logit.png
4,8,mean_mask_logit,3.310450580329416e-08,1.0864233672691626e-06,4304,59,56,0.44087490473558266,0.10772941701270472,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_8_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_8_to_mean_mask_logit.png
2,12,mean_mask_logit,3.885379484813711e-08,1.078914237950812e-06,2415,33,39,0.4162182200597058,-0.09807160503160073,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_12_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_12_to_mean_mask_logit.png
4,14,mean_mask_logit,2.912181784608947e-08,1.0697981451812666e-06,4304,59,56,0.4280046422491865,0.003921353989605735,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_14_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_14_to_mean_mask_logit.png
4,13,mean_mask_logit,2.98358244776864e-08,1.0491003195056692e-06,4304,59,56,0.4483475334077147,0.1719630976420447,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_13_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_13_to_mean_mask_logit.png
5,14,mean_mask_logit,2.429451306795727e-08,1.0460994417371694e-06,4304,59,56,0.45808660581243266,0.26166704067385504,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_14_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_14_to_mean_mask_logit.png
5,10,mean_mask_logit,2.3463226028752615e-08,1.0063915851787897e-06,4304,59,56,0.42933618117256495,0.04891810870471316,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_10_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_10_to_mean_mask_logit.png
3,11,mean_mask_logit,3.534352188694356e-08,9.996103926823707e-07,4304,59,56,0.4082947595784768,-0.2774390695042766,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_11_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_11_to_mean_mask_logit.png
5,8,mean_mask_logit,2.1795953486503095e-08,9.766407629285823e-07,4304,59,56,0.44646481269735366,0.20045265163657228,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_8_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_8_to_mean_mask_logit.png
4,3,mean_mask_logit,2.938240051264529e-08,9.605931836631498e-07,4304,59,56,0.42736286147952285,0.006848329188959031,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_3_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_3_to_mean_mask_logit.png
4,10,mean_mask_logit,2.7216939813001773e-08,9.602566706234938e-07,4304,59,56,0.4203101036904607,-0.1012519956944784,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_10_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_10_to_mean_mask_logit.png
5,13,mean_mask_logit,2.1982392794939187e-08,9.492399044574995e-07,4304,59,56,0.4450735029117755,0.1705503512482963,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_13_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_13_to_mean_mask_logit.png
5,9,mean_mask_logit,2.087750061718907e-08,9.291841820413538e-07,4304,59,56,0.43175607227023916,0.06824672038484303,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_9_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_9_to_mean_mask_logit.png
4,11,mean_mask_logit,2.765425932693688e-08,9.238000302502769e-07,4304,59,56,0.43224670777733815,0.031027923674194977,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_11_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_11_to_mean_mask_logit.png
2,6,mean_mask_logit,3.191314590367256e-08,9.139493499787932e-07,2061,28,45,0.4568198920293031,0.24298873565516618,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_6_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_6_to_mean_mask_logit.png
2,5,mean_mask_logit,3.224107203436688e-08,9.068894541996997e-07,4304,59,56,0.41742166952959053,-0.043583254256493134,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_5_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_5_to_mean_mask_logit.png
2,4,mean_mask_logit,3.0081942270498985e-08,8.872577836882556e-07,4304,59,56,0.4355121238327068,0.09863502060024668,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_4_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_4_to_mean_mask_logit.png
5,11,mean_mask_logit,2.131618437317684e-08,8.777125799497298e-07,4304,59,56,0.4274894943894287,0.04035810145800078,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_11_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_11_to_mean_mask_logit.png
4,7,mean_mask_logit,2.4635783191229166e-08,8.566977953705646e-07,4304,59,56,0.4258324725310737,-0.020820754057238777,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_7_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_7_to_mean_mask_logit.png
4,9,mean_mask_logit,2.569901091931115e-08,8.542531872990367e-07,4304,59,56,0.40297426934979746,-0.21619745403161708,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_9_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_9_to_mean_mask_logit.png
