layer,prompt_token_index,target_desc,pathway_mean,pathway_max,top_token_index,top_row,top_col,cosine_attn_regiongrad,pearson_attn_regiongrad,npy_path,png_path
2,10,mean_mask_logit,2.1104298753016337e-07,9.89692853181623e-06,2272,31,40,0.3671815890059854,0.06048571222851218,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_10_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_10_to_mean_mask_logit.png
2,8,mean_mask_logit,2.2076200423271075e-07,9.831207535171416e-06,2707,37,43,0.35767270416139246,-0.04677850801338895,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_8_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_8_to_mean_mask_logit.png
2,7,mean_mask_logit,1.9110802895738743e-07,9.675289220467675e-06,2707,37,43,0.3645897528378421,0.031001870412430986,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_7_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_7_to_mean_mask_logit.png
1,1,mean_mask_logit,9.587144234046718e-08,9.247347406926565e-06,2707,37,43,0.31084772562570173,-0.030993367564134604,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_1_prompt_token_1_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_1_prompt_token_1_to_mean_mask_logit.png
2,6,mean_mask_logit,1.821909165755642e-07,8.893033736967482e-06,2707,37,43,0.3669468469351771,0.05252589170612393,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_6_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_6_to_mean_mask_logit.png
2,13,mean_mask_logit,1.9617560553797375e-07,8.787501428741962e-06,2272,31,40,0.3560037933496153,-0.06925005256572025,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_13_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_13_to_mean_mask_logit.png
2,3,mean_mask_logit,1.0110488801728934e-07,6.790053248550976e-06,2272,31,40,0.3226457563543051,-0.10121105888172881,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_3_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_3_to_mean_mask_logit.png
2,2,mean_mask_logit,8.430559716998687e-08,5.324731773725944e-06,2272,31,40,0.25371916918130594,-0.36044417210752916,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_2_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_2_to_mean_mask_logit.png
3,5,mean_mask_logit,1.6178265127564373e-07,5.272268481348874e-06,4420,61,28,0.44431584757036396,0.3447065534456364,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_5_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_5_to_mean_mask_logit.png
3,6,mean_mask_logit,1.199116468342254e-07,5.1208016884629615e-06,4420,61,28,0.42305550030905015,0.1095050781514027,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_6_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_6_to_mean_mask_logit.png
3,8,mean_mask_logit,1.501586410768141e-07,5.053196673543425e-06,4420,61,28,0.41035980014839224,-0.057239187480063534,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_8_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_8_to_mean_mask_logit.png
