layer,target_desc,mean_grad,max_grad,spatial_shape,npy_path,png_path
0,mean_mask_logit,2.7161947855347535e-06,0.00013602155377157032,"(72, 72)",outputs/dog_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_0_mean_mask_logit_fusion_grad.npy,outputs/dog_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_0_mean_mask_logit_fusion_grad.png
1,mean_mask_logit,2.312915057700593e-06,5.946583769400604e-05,"(72, 72)",outputs/dog_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_1_mean_mask_logit_fusion_grad.npy,outputs/dog_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_1_mean_mask_logit_fusion_grad.png
2,mean_mask_logit,2.1530593130592024e-06,5.6039876653812826e-05,"(72, 72)",outputs/dog_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_2_mean_mask_logit_fusion_grad.npy,outputs/dog_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_2_mean_mask_logit_fusion_grad.png
3,mean_mask_logit,1.63256675023149e-06,5.163227615412325e-05,"(72, 72)",outputs/dog_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_3_mean_mask_logit_fusion_grad.npy,outputs/dog_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_3_mean_mask_logit_fusion_grad.png
4,mean_mask_logit,1.3617218428407796e-06,5.6738044804660603e-05,"(72, 72)",outputs/dog_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_4_mean_mask_logit_fusion_grad.npy,outputs/dog_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_4_mean_mask_logit_fusion_grad.png
5,mean_mask_logit,1.015289285533072e-06,4.623353743227199e-05,"(72, 72)",outputs/dog_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_5_mean_mask_logit_fusion_grad.npy,outputs/dog_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_5_mean_mask_logit_fusion_grad.png
