layer,layer_name,mean_delta,max_delta,mean_grad,max_grad,mean_delta_grad,max_delta_grad,spatial_h,spatial_w,target_mask_index
0,transformer.encoder.layers.0,2.695768356323242,9.353078842163086,1.9871861240972066e-06,0.00010654120706021786,5.854473329236498e-06,0.00039752465090714395,72,72,0
1,transformer.encoder.layers.1,5.976997375488281,11.295679092407227,1.7248406720682397e-06,8.740303019294515e-05,1.1977573194599245e-05,0.0006490136729553342,72,72,0
2,transformer.encoder.layers.2,8.40501880645752,13.803520202636719,1.6296402236548602e-06,7.991544407559559e-05,1.4816692782915197e-05,0.0007061927462927997,72,72,0
3,transformer.encoder.layers.3,12.5398588180542,20.858654022216797,1.2100415460736258e-06,6.37273769825697e-05,1.5426130630658008e-05,0.0007762656314298511,72,72,0
4,transformer.encoder.layers.4,19.95616340637207,32.4366340637207,9.61913428909611e-07,3.508548252284527e-05,1.7733511413098313e-05,0.0006416103569790721,72,72,0
5,transformer.encoder.layers.5,29.405895233154297,48.36061477661133,6.41078770513559e-07,2.2282447389443405e-05,1.7824189853854477e-05,0.0006964291096664965,72,72,0
