layer,layer_name,shape,mean_abs_grad,max_abs_grad,l2_grad,target_mask_index
0,transformer.encoder.layers.0,"(1, 5184, 256)",1.9871861240972066e-06,0.00010654120706021786,0.00039746492984704673,0
1,transformer.encoder.layers.1,"(1, 5184, 256)",1.7248406720682397e-06,8.740303019294515e-05,0.0003360849805176258,0
2,transformer.encoder.layers.2,"(1, 5184, 256)",1.6296402236548602e-06,7.991544407559559e-05,0.0003313230990897864,0
3,transformer.encoder.layers.3,"(1, 5184, 256)",1.2100415460736258e-06,6.37273769825697e-05,0.00024292495800182223,0
4,transformer.encoder.layers.4,"(1, 5184, 256)",9.61913428909611e-07,3.508548252284527e-05,0.00018218235345557332,0
5,transformer.encoder.layers.5,"(1, 5184, 256)",6.41078770513559e-07,2.2282447389443405e-05,0.0001116069033741951,0
