layer,query_index,rank,token_index,row,col,attention_mass,map_path
1,144,17,2642,36,50,0.0063855694606900215,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,18,2859,39,51,0.00620732456445694,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,19,2138,29,50,0.005899770185351372,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,20,3291,45,51,0.005809302441775799,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
2,144,1,2572,35,52,0.06557662785053253,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,2,2283,31,51,0.06025154888629913,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,3,2715,37,51,0.023101937025785446,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,4,2788,38,52,0.02163117006421089,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,5,2571,35,51,0.020029226318001747,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,6,2356,32,52,0.016962017863988876,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,7,2211,30,51,0.009691518731415272,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,8,2282,31,50,0.008729823864996433,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,9,2716,37,52,0.0085863396525383,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,10,2498,34,50,0.008147768676280975,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,11,2138,29,50,0.008136251010000706,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,12,2499,34,51,0.0070113930851221085,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
