layer,k,query_index,top_score_drop,random_score_drop_mean,score_drop_advantage,top_iou_drop,random_iou_drop_mean,iou_drop_advantage
0,50,144,0.00019900500774383545,0.0001681298017501831,3.0875205993652344e-05,0.00012451410293579102,9.64800516764323e-05,2.803405125935872e-05
0,100,144,0.00036334991455078125,0.0003419220447540283,2.142786979675293e-05,0.00022655725479125977,0.00017736355463663736,4.9193700154622405e-05
0,200,144,0.0006719678640365601,0.000601684053738912,7.028381029764808e-05,0.000334322452545166,0.0002913475036621094,4.297494888305664e-05
0,500,144,0.0012595951557159424,0.0015120406945546467,-0.00025244553883870435,0.0004850625991821289,0.0007076263427734375,-0.0002225637435913086
1,50,144,0.000221937894821167,0.0001736233631769816,4.831453164418539e-05,0.00015532970428466797,0.00011360645294189453,4.172325134277344e-05
1,100,144,0.0005124509334564209,0.0002691398064295451,0.0002433111270268758,0.0002676248550415039,0.00014418363571166992,0.00012344121932983398
1,200,144,0.0010186433792114258,0.0005686630805333456,0.0004499802986780802,0.0005691051483154297,0.0002823670705159505,0.0002867380777994792
1,500,144,0.002417534589767456,0.0012891143560409546,0.0011284202337265015,0.001508474349975586,0.0006693402926127116,0.0008391340573628744
2,50,144,0.00022949278354644775,0.0001557221015294393,7.377068201700845e-05,0.00014698505401611328,9.479125340779622e-05,5.219380060831706e-05
2,100,144,0.0005107969045639038,0.0003136893113454183,0.00019710759321848553,0.0002650618553161621,0.00015189250310262045,0.00011316935221354166
2,200,144,0.0008428692817687988,0.0006081461906433105,0.00023472309112548828,0.0004895925521850586,0.00030225515365600586,0.00018733739852905273
2,500,144,0.0018011033535003662,0.0013056049744288127,0.0004954983790715535,0.001146078109741211,0.0006680488586425781,0.0004780292510986328
3,50,144,5.3048133850097656e-05,0.00015966594219207764,-0.00010661780834197998,0.0001418590545654297,9.179115295410156e-05,5.0067901611328125e-05
3,100,144,0.0002684295177459717,0.0003379533688227336,-6.95238510767619e-05,0.0002849102020263672,0.00016194581985473633,0.00012296438217163086
3,200,144,0.0007954686880111694,0.0005626976490020752,0.00023277103900909424,0.0006383657455444336,0.00029710928599039715,0.00034125645955403644
3,500,144,0.002270236611366272,0.0014777332544326782,0.0007925033569335938,0.00156480073928833,0.0007033745447794596,0.0008614261945088705
4,50,144,0.00023396313190460205,0.00015476346015930176,7.919967174530029e-05,0.00014889240264892578,9.691715240478516e-05,5.1975250244140625e-05
4,100,144,0.00043529272079467773,0.00033325453599294025,0.00010203818480173749,0.0003298521041870117,0.00018570820490519205,0.00014414389928181967
4,200,144,0.0007152557373046875,0.000576371947924296,0.00013888378938039147,0.0007569789886474609,0.00028834740320841473,0.0004686315854390462
4,500,144,0.0026561617851257324,0.0015058765808741252,0.0011502852042516072,0.0016838312149047852,0.0007078448931376139,0.0009759863217671713
5,50,144,0.0002554208040237427,0.0001572867234547933,9.813408056894937e-05,0.00015658140182495117,9.071826934814453e-05,6.586313247680664e-05
5,100,144,0.0005601048469543457,0.00032477577527364093,0.00023532907168070477,0.00030225515365600586,0.00016858180363972983,0.00013367335001627603
5,200,144,0.000750616192817688,0.0005741020043691,0.00017651418844858802,0.0007512569427490234,0.00030545393625895184,0.0004458030064900716
5,500,144,0.0027572810649871826,0.0014483332633972168,0.0013089478015899658,0.0017063617706298828,0.0006781220436096191,0.0010282397270202637
