layer,layer_name,mean_delta,max_delta,mean_grad,max_grad,mean_delta_grad,max_delta_grad,spatial_h,spatial_w,target_mask_index
0,transformer.encoder.layers.0,3.1193504333496094,7.88047981262207,2.7162348033016315e-06,0.0001360491442028433,8.1846037573996e-06,0.0007102116942405701,72,72,0
1,transformer.encoder.layers.1,5.968795299530029,10.47598934173584,2.3129296096158214e-06,5.946883175056428e-05,1.4240912605600897e-05,0.00041626807069405913,72,72,0
2,transformer.encoder.layers.2,7.552776336669922,13.519210815429688,2.1530302092287457e-06,5.607567436527461e-05,1.611374864296522e-05,0.0005217933212406933,72,72,0
3,transformer.encoder.layers.3,11.015030860900879,19.905179977416992,1.6325706155839725e-06,5.1617040298879147e-05,1.6586172932875343e-05,0.00048698694445192814,72,72,0
4,transformer.encoder.layers.4,16.467592239379883,30.9277286529541,1.3617243439512094e-06,5.674289059243165e-05,1.9032135242014192e-05,0.0006545686046592891,72,72,0
5,transformer.encoder.layers.5,24.32646942138672,47.03775405883789,1.0152890581593965e-06,4.623353743227199e-05,2.122211481037084e-05,0.000640833517536521,72,72,0
