layer,layer_name,shape,mean_abs_grad,max_abs_grad,l2_grad,target_mask_index
0,transformer.encoder.layers.0,"(1, 5184, 256)",2.7162348033016315e-06,0.0001360491442028433,0.0004818583547603339,0
1,transformer.encoder.layers.1,"(1, 5184, 256)",2.3129296096158214e-06,5.946883175056428e-05,0.0003811617207247764,0
2,transformer.encoder.layers.2,"(1, 5184, 256)",2.1530302092287457e-06,5.607567436527461e-05,0.00036363021354191005,0
3,transformer.encoder.layers.3,"(1, 5184, 256)",1.6325706155839725e-06,5.1617040298879147e-05,0.00026707680081017315,0
4,transformer.encoder.layers.4,"(1, 5184, 256)",1.3617243439512094e-06,5.674289059243165e-05,0.00022687739692628384,0
5,transformer.encoder.layers.5,"(1, 5184, 256)",1.0152890581593965e-06,4.623353743227199e-05,0.00017106295854318887,0
