layer,target_desc,mean_grad,max_grad,spatial_shape,npy_path,png_path
0,mean_mask_logit,1.148262253991561e-05,0.000452701497124508,"(72, 72)",outputs/schoolbus_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_0_mean_mask_logit_fusion_grad.npy,outputs/schoolbus_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_0_mean_mask_logit_fusion_grad.png
1,mean_mask_logit,9.91698198049562e-06,0.00042536717955954373,"(72, 72)",outputs/schoolbus_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_1_mean_mask_logit_fusion_grad.npy,outputs/schoolbus_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_1_mean_mask_logit_fusion_grad.png
2,mean_mask_logit,8.602924935985357e-06,0.0003996386658400297,"(72, 72)",outputs/schoolbus_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_2_mean_mask_logit_fusion_grad.npy,outputs/schoolbus_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_2_mean_mask_logit_fusion_grad.png
3,mean_mask_logit,5.8125801842834335e-06,0.00018019064737018198,"(72, 72)",outputs/schoolbus_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_3_mean_mask_logit_fusion_grad.npy,outputs/schoolbus_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_3_mean_mask_logit_fusion_grad.png
4,mean_mask_logit,4.2765045691339765e-06,0.0001775748241925612,"(72, 72)",outputs/schoolbus_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_4_mean_mask_logit_fusion_grad.npy,outputs/schoolbus_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_4_mean_mask_logit_fusion_grad.png
5,mean_mask_logit,2.6078580503963167e-06,0.0001226193126058206,"(72, 72)",outputs/schoolbus_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_5_mean_mask_logit_fusion_grad.npy,outputs/schoolbus_mask_region_fusion_attribution/mask_region_fusion_attribution/layer_5_mean_mask_logit_fusion_grad.png
