condition,k,trial,original_score,ablated_score,score_drop,iou_with_original
top_fused_attention,50,,0.22669436037540436,0.22598470747470856,0.0007096529006958008,0.9995673298835754
random,50,0,0.22669436037540436,0.2263401597738266,0.0003542006015777588,0.9999310374259949
random,50,1,0.22669436037540436,0.22630064189434052,0.0003937184810638428,0.9999310374259949
random,50,2,0.22669436037540436,0.22623692452907562,0.00045743584632873535,0.9999387264251709
random,50,3,0.22669436037540436,0.22620247304439545,0.0004918873310089111,0.9999463558197021
random,50,4,0.22669436037540436,0.22645996510982513,0.00023439526557922363,0.9999502301216125
random,50,5,0.22669436037540436,0.22634895145893097,0.00034540891647338867,0.9999349117279053
random,50,6,0.22669436037540436,0.22630321979522705,0.00039114058017730713,0.9999425411224365
random,50,7,0.22669436037540436,0.2262306809425354,0.0004636794328689575,0.9999272227287292
random,50,8,0.22669436037540436,0.22645321488380432,0.00024114549160003662,0.9999578595161438
random,50,9,0.22669436037540436,0.22627374529838562,0.0004206150770187378,0.9999502301216125
top_fused_attention,100,,0.22669436037540436,0.22575290501117706,0.0009414553642272949,0.9993836879730225
random,100,0,0.22669436037540436,0.22599533200263977,0.0006990283727645874,0.9999042749404907
random,100,1,0.22669436037540436,0.22586914896965027,0.0008252114057540894,0.9998889565467834
random,100,2,0.22669436037540436,0.22604481875896454,0.0006495416164398193,0.9998430013656616
random,100,3,0.22669436037540436,0.22609883546829224,0.0005955249071121216,0.9999157190322876
random,100,4,0.22669436037540436,0.22593888640403748,0.0007554739713668823,0.9998927712440491
random,100,5,0.22669436037540436,0.22605000436306,0.0006443560123443604,0.9998889565467834
random,100,6,0.22669436037540436,0.22596126794815063,0.0007330924272537231,0.9998735785484314
random,100,7,0.22669436037540436,0.22603349387645721,0.0006608664989471436,0.9998736381530762
random,100,8,0.22669436037540436,0.22618775069713593,0.0005066096782684326,0.9998506307601929
random,100,9,0.22669436037540436,0.22600415349006653,0.0006902068853378296,0.9999004006385803
top_fused_attention,200,,0.22669436037540436,0.2251700609922409,0.0015242993831634521,0.9993836879730225
random,200,0,0.22669436037540436,0.22548097372055054,0.0012133866548538208,0.999804675579071
random,200,1,0.22669436037540436,0.22551020979881287,0.0011841505765914917,0.9997472763061523
random,200,2,0.22669436037540436,0.2256801426410675,0.001014217734336853,0.9998544454574585
random,200,3,0.22669436037540436,0.22546282410621643,0.0012315362691879272,0.9997664093971252
random,200,4,0.22669436037540436,0.22558273375034332,0.0011116266250610352,0.999823808670044
random,200,5,0.22669436037540436,0.2254922240972519,0.0012021362781524658,0.9998276829719543
random,200,6,0.22669436037540436,0.2256014496088028,0.0010929107666015625,0.9998008608818054
random,200,7,0.22669436037540436,0.22530338168144226,0.0013909786939620972,0.9997931718826294
random,200,8,0.22669436037540436,0.22561241686344147,0.0010819435119628906,0.9998161792755127
random,200,9,0.22669436037540436,0.22541603446006775,0.0012783259153366089,0.9997817277908325
top_fused_attention,500,,0.22669436037540436,0.22228768467903137,0.004406675696372986,0.9993453621864319
random,500,0,0.22669436037540436,0.2239844799041748,0.0027098804712295532,0.9994869232177734
random,500,1,0.22669436037540436,0.22426585853099823,0.002428501844406128,0.9995060563087463
random,500,2,0.22669436037540436,0.22423094511032104,0.002463415265083313,0.9995979070663452
random,500,3,0.22669436037540436,0.22416934370994568,0.002525016665458679,0.9995710849761963
random,500,4,0.22669436037540436,0.22410640120506287,0.0025879591703414917,0.9996514916419983
random,500,5,0.22669436037540436,0.22422604262828827,0.002468317747116089,0.9996247291564941
random,500,6,0.22669436037540436,0.2241036295890808,0.0025907307863235474,0.9996668100357056
random,500,7,0.22669436037540436,0.22407639026641846,0.002617970108985901,0.999636173248291
random,500,8,0.22669436037540436,0.22419700026512146,0.002497360110282898,0.9996744990348816
random,500,9,0.22669436037540436,0.22407004237174988,0.00262431800365448,0.9995558261871338
