layer,k,top_score_drop,random_score_drop_mean,score_drop_advantage,top_iou_drop,random_iou_drop_mean,iou_drop_advantage
0,50,0.00017981231212615967,3.364185492197672e-05,0.00014617045720418295,0.00010156631469726562,4.001458485921224e-05,6.155172983805338e-05
0,100,0.0004988610744476318,0.00012837847073872885,0.00037048260370890296,0.0002676844596862793,7.230043411254883e-05,0.00019538402557373047
0,200,0.001311570405960083,0.00031905372937520343,0.0009925166765848796,0.0006158947944641113,0.00012002388636271159,0.0004958709081013998
0,500,0.009637415409088135,0.0009471227725346883,0.008690292636553446,0.0015341639518737793,0.0003453691800435384,0.001188794771830241
1,50,0.0001656264066696167,4.4971704483032227e-05,0.00012065470218658447,0.00017076730728149414,4.770358403523763e-05,0.0001230637232462565
1,100,0.0005272179841995239,9.535253047943115e-05,0.0004318654537200928,0.0002745985984802246,5.99821408589681e-05,0.0002146164576212565
1,200,0.001529887318611145,0.00028669337431589764,0.0012431939442952473,0.000758826732635498,0.00010693073272705078,0.0006518959999084473
1,500,0.010593608021736145,0.0009705573320388794,0.009623050689697266,0.00156402587890625,0.0003476540247599284,0.0012163718541463215
2,50,0.0001653730869293213,2.4825334548950195e-05,0.0001405477523803711,0.0001684427261352539,3.463029861450195e-05,0.00013381242752075195
2,100,0.0005069375038146973,0.00010718901952107747,0.0003997484842936198,0.0002815127372741699,6.614128748575847e-05,0.00021537144978841144
2,200,0.001520410180091858,0.00028635064760843915,0.0012340595324834187,0.0007404088973999023,0.00011382500330607097,0.0006265838940938314
2,500,0.010866835713386536,0.0008882383505503336,0.009978597362836203,0.001582503318786621,0.00032921632130940753,0.0012532869974772136
3,50,0.00014375150203704834,3.879765669504801e-05,0.00010495384534200033,0.00017768144607543945,3.3855438232421875e-05,0.00014382600784301758
3,100,0.0005047023296356201,8.619328339894612e-05,0.000418509046236674,0.00030922889709472656,6.385644276936849e-05,0.0002453724543253581
3,200,0.0017460286617279053,0.0003418972094853719,0.0014041314522425334,0.0008924603462219238,0.00012461344401041666,0.0007678469022115072
3,500,0.011434733867645264,0.0010878592729568481,0.010346874594688416,0.0016583800315856934,0.00037227074305216473,0.0012861092885335286
4,50,3.314018249511719e-05,4.8076113065083824e-05,-1.4935930569966636e-05,0.00015228986740112305,3.6935011545817055e-05,0.000115354855855306
4,100,0.00036221742630004883,0.00010631978511810303,0.0002558976411819458,0.00027000904083251953,6.230672200520833e-05,0.00020770231882731122
4,200,0.001619875431060791,0.0002742757399876912,0.0013455996910730998,0.0007381439208984375,0.00010540088017781575,0.0006327430407206217
4,500,0.010122746229171753,0.0009961674610773723,0.009126578768094381,0.0015428662300109863,0.00035383303960164386,0.0011890331904093425
5,50,4.9754977226257324e-05,4.9908955891927086e-05,-1.5397866566976137e-07,0.00014537572860717773,4.229942957560221e-05,0.00010307629903157553
5,100,0.0003478527069091797,0.00010771552721659343,0.00024013717969258624,0.00028842687606811523,6.463130315144856e-05,0.00022379557291666668
5,200,0.0012677162885665894,0.0002677241961161296,0.0009999920924504597,0.00069427490234375,9.308258692423503e-05,0.000601192315419515
5,500,0.008405610918998718,0.0009348094463348389,0.007470801472663879,0.001125633716583252,0.00034381945927937824,0.0007818142573038738
