layer,k,condition,trial,original_score,ablated_score,score_drop,iou_with_original,iou_drop,ablation_mode,delta_grad_path,token_indices_preview
0,50,top_delta_grad,0,0.15386584401130676,0.1536860316991806,0.00017981231212615967,0.9998984336853027,0.00010156631469726562,zero,outputs/cat_deltaf_grad/mm_grad/layer_0_delta_grad.npy,"[2638, 3636, 2700, 2776, 3923, 3793, 2708, 3925, 3640, 3642, 3580, 2278, 3075, 3146, 3856, 1328, 2497, 3579, 4496, 3057]"
0,50,random,0,0.15386584401130676,0.15385404229164124,1.1801719665527344e-05,0.9999515414237976,4.845857620239258e-05,zero,outputs/cat_deltaf_grad/mm_grad/layer_0_delta_grad.npy,"[350, 4281, 3194, 1202, 1189, 1733, 184, 846, 844, 5045, 3129, 1120, 4959, 223, 1378, 2511, 5182, 163, 896, 960]"
0,50,random,1,0.15386584401130676,0.1538204848766327,4.5359134674072266e-05,0.9999653697013855,3.463029861450195e-05,zero,outputs/cat_deltaf_grad/mm_grad/layer_0_delta_grad.npy,"[2971, 76, 4437, 422, 2714, 1909, 192, 5128, 347, 4236, 3771, 1997, 157, 521, 2662, 4108, 938, 3943, 4593, 1378]"
0,50,random,2,0.15386584401130676,0.15382207930088043,4.3764710426330566e-05,0.9999630451202393,3.695487976074219e-05,zero,outputs/cat_deltaf_grad/mm_grad/layer_0_delta_grad.npy,"[2885, 1211, 3582, 2116, 1966, 1988, 3946, 3927, 7, 1242, 1632, 3375, 1455, 5104, 3599, 678, 3795, 345, 3261, 1666]"
0,100,top_delta_grad,0,0.15386584401130676,0.15336698293685913,0.0004988610744476318,0.9997323155403137,0.0002676844596862793,zero,outputs/cat_deltaf_grad/mm_grad/layer_0_delta_grad.npy,"[2638, 3636, 2700, 2776, 3923, 3793, 2708, 3925, 3640, 3642, 3580, 2278, 3075, 3146, 3856, 1328, 2497, 3579, 4496, 3057]"
0,100,random,0,0.15386584401130676,0.1537461280822754,0.00011971592903137207,0.9999284744262695,7.152557373046875e-05,zero,outputs/cat_deltaf_grad/mm_grad/layer_0_delta_grad.npy,"[3038, 4755, 4805, 1040, 444, 4306, 1535, 3152, 1834, 2571, 1929, 135, 1393, 553, 1246, 2323, 772, 3268, 1271, 3291]"
0,100,random,1,0.15386584401130676,0.1537381261587143,0.00012771785259246826,0.9999330639839172,6.693601608276367e-05,zero,outputs/cat_deltaf_grad/mm_grad/layer_0_delta_grad.npy,"[3148, 4772, 1286, 3752, 3747, 2453, 3956, 140, 1501, 4895, 5097, 1533, 1666, 883, 3623, 3416, 2328, 1887, 3181, 102]"
0,100,random,2,0.15386584401130676,0.15372814238071442,0.0001377016305923462,0.9999215602874756,7.843971252441406e-05,zero,outputs/cat_deltaf_grad/mm_grad/layer_0_delta_grad.npy,"[2304, 52, 4061, 559, 2923, 730, 5091, 3718, 407, 1620, 3423, 4280, 5164, 679, 2217, 982, 3682, 2624, 3215, 1072]"
0,200,top_delta_grad,0,0.15386584401130676,0.15255427360534668,0.001311570405960083,0.9993841052055359,0.0006158947944641113,zero,outputs/cat_deltaf_grad/mm_grad/layer_0_delta_grad.npy,"[2638, 3636, 2700, 2776, 3923, 3793, 2708, 3925, 3640, 3642, 3580, 2278, 3075, 3146, 3856, 1328, 2497, 3579, 4496, 3057]"
0,200,random,0,0.15386584401130676,0.15352366864681244,0.00034217536449432373,0.9998684525489807,0.0001315474510192871,zero,outputs/cat_deltaf_grad/mm_grad/layer_0_delta_grad.npy,"[4880, 699, 140, 4206, 1473, 137, 4185, 1966, 3071, 1434, 585, 1638, 4174, 3408, 348, 5160, 2229, 786, 3342, 2001]"
0,200,random,1,0.15386584401130676,0.15357759594917297,0.00028824806213378906,0.9998891949653625,0.00011080503463745117,zero,outputs/cat_deltaf_grad/mm_grad/layer_0_delta_grad.npy,"[3115, 2460, 2021, 1441, 708, 5042, 3248, 4578, 4159, 2735, 3135, 3400, 1350, 3482, 2659, 1488, 3838, 1099, 3366, 1824]"
0,200,random,2,0.15386584401130676,0.15353910624980927,0.00032673776149749756,0.9998822808265686,0.00011771917343139648,zero,outputs/cat_deltaf_grad/mm_grad/layer_0_delta_grad.npy,"[201, 5024, 857, 1966, 3601, 2827, 4192, 824, 1804, 5178, 3939, 726, 4883, 3466, 2989, 2832, 1556, 2584, 2153, 2371]"
0,500,top_delta_grad,0,0.15386584401130676,0.14422842860221863,0.009637415409088135,0.9984658360481262,0.0015341639518737793,zero,outputs/cat_deltaf_grad/mm_grad/layer_0_delta_grad.npy,"[2638, 3636, 2700, 2776, 3923, 3793, 2708, 3925, 3640, 3642, 3580, 2278, 3075, 3146, 3856, 1328, 2497, 3579, 4496, 3057]"
0,500,random,0,0.15386584401130676,0.15285927057266235,0.0010065734386444092,0.9996446371078491,0.0003553628921508789,zero,outputs/cat_deltaf_grad/mm_grad/layer_0_delta_grad.npy,"[2380, 5040, 698, 1320, 4928, 2079, 2627, 5014, 3299, 1746, 920, 2326, 1851, 4296, 507, 277, 3765, 1170, 4218, 2794]"
0,500,random,1,0.15386584401130676,0.15302674472332,0.0008390992879867554,0.9996700286865234,0.0003299713134765625,zero,outputs/cat_deltaf_grad/mm_grad/layer_0_delta_grad.npy,"[4348, 4135, 2102, 2170, 580, 3462, 2818, 3786, 3951, 1058, 296, 3269, 4698, 215, 2251, 2348, 3253, 1539, 799, 4826]"
0,500,random,2,0.15386584401130676,0.15287014842033386,0.0009956955909729004,0.9996492266654968,0.00035077333450317383,zero,outputs/cat_deltaf_grad/mm_grad/layer_0_delta_grad.npy,"[3837, 4715, 278, 747, 4315, 3221, 4128, 1181, 1348, 4318, 1950, 3325, 734, 4925, 23, 2481, 2965, 4959, 7, 678]"
1,50,top_delta_grad,0,0.15386584401130676,0.15370021760463715,0.0001656264066696167,0.9998292326927185,0.00017076730728149414,zero,outputs/cat_deltaf_grad/mm_grad/layer_1_delta_grad.npy,"[3923, 3636, 3925, 3780, 2638, 3782, 3707, 3997, 1113, 1328, 964, 2278, 3995, 3580, 2708, 3709, 2700, 1036, 3640, 2924]"
1,50,random,0,0.15386584401130676,0.15383687615394592,2.8967857360839844e-05,0.9999584555625916,4.1544437408447266e-05,zero,outputs/cat_deltaf_grad/mm_grad/layer_1_delta_grad.npy,"[4481, 765, 957, 107, 1702, 1839, 4915, 1476, 2162, 2467, 3382, 937, 4178, 1919, 1259, 2933, 2113, 4056, 3480, 31]"
1,50,random,1,0.15386584401130676,0.1538243591785431,4.1484832763671875e-05,0.9999468922615051,5.310773849487305e-05,zero,outputs/cat_deltaf_grad/mm_grad/layer_1_delta_grad.npy,"[1775, 4189, 4822, 2856, 1909, 3298, 485, 4434, 3781, 3768, 4014, 556, 4821, 2080, 1416, 3361, 971, 991, 630, 3270]"
