layer,query_index,rank,token_index,row,col,attention_mass,map_path
1,144,19,2000,27,56,0.0035094749182462692,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
1,144,20,131,1,59,0.003469658549875021,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.png
2,144,1,2575,35,55,0.1646444946527481,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,2,2503,34,55,0.029789187014102936,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,3,2791,38,55,0.014074605889618397,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,4,2359,32,55,0.011133643798530102,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,5,2574,35,54,0.010413061827421188,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,6,2429,33,53,0.007222479209303856,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,7,2647,36,55,0.007197504863142967,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,8,2573,35,53,0.0059021636843681335,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,9,2431,33,55,0.005565743427723646,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,10,127,1,55,0.004405374173074961,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,11,2285,31,53,0.004216844215989113,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,12,2215,30,55,0.004100946709513664,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,13,5167,71,55,0.003627826226875186,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,14,2792,38,56,0.0035135692451149225,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,15,5166,71,54,0.0032164370641112328,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,16,2287,31,55,0.0030238640028983355,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,17,2000,27,56,0.0030079795978963375,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,18,2361,32,57,0.0029993182979524136,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,19,54,0,54,0.0028827697969973087,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,20,3007,41,55,0.0028542219661176205,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
3,144,1,2575,35,55,0.2548140287399292,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,2,2503,34,55,0.04086160659790039,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
