layer,query_index,spatial_shape,delta_grad_path,decoder_attn_path,cosine_raw,cosine_normalized,pearson_raw,pearson_normalized,delta_grad_mean,delta_grad_max,decoder_attn_mean,decoder_attn_max,top_20_overlap,top_50_overlap,top_100_overlap,top_200_overlap
0,144,"(72, 72)",outputs/dog_deltaf_grad/mm_grad/layer_0_delta_grad.npy,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_0_query144_attn.npy,0.022329883711801862,0.021173365510058537,-0.019049288682221426,-0.01904928878165114,8.1846037573996e-06,0.0007102116942405701,0.00019290125055704266,0.06789351254701614,0.0,0.0,0.0,0.0
1,144,"(72, 72)",outputs/dog_deltaf_grad/mm_grad/layer_1_delta_grad.npy,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_1_query144_attn.npy,0.1391269416511301,0.13565042859303938,0.05543955994402118,0.055439560338977,1.4240912605600897e-05,0.00041626807069405913,0.00019290125055704266,0.03376298025250435,0.05,0.04,0.03,0.095
2,144,"(72, 72)",outputs/dog_deltaf_grad/mm_grad/layer_2_delta_grad.npy,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.npy,0.17491951425590735,0.17014943560732837,0.0666701501250119,0.0666701506768154,1.611374864296522e-05,0.0005217933212406933,0.00019290125055704266,0.022085128352046013,0.05,0.06,0.05,0.09
3,144,"(72, 72)",outputs/dog_deltaf_grad/mm_grad/layer_3_delta_grad.npy,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.npy,0.24489902123316895,0.2408002247209258,0.15774063007808234,0.15774063126929103,1.6586172932875343e-05,0.00048698694445192814,0.00019290123600512743,0.020181970670819283,0.1,0.08,0.1,0.125
4,144,"(72, 72)",outputs/dog_deltaf_grad/mm_grad/layer_4_delta_grad.npy,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.npy,0.30694883759192687,0.30454702488919067,0.23951325151676936,0.23951325297519424,1.9032135242014192e-05,0.0006545686046592891,0.00019290125055704266,0.03447069227695465,0.1,0.04,0.12,0.195
5,144,"(72, 72)",outputs/dog_deltaf_grad/mm_grad/layer_5_delta_grad.npy,outputs/dog_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.npy,0.2451375967630781,0.2424715920528996,0.18922997572869607,0.18922997654296772,2.122211481037084e-05,0.000640833517536521,0.00019290123600512743,0.04203048720955849,0.05,0.08,0.11,0.13
