layer,prompt_token_index,attention_mean,attention_max,attn_x_grad_mean,attn_x_grad_max,attention_npy,attention_png,attn_x_grad_npy,attn_x_grad_png
0,11,0.028804661706089973,0.0388549268245697,3.091875555583101e-07,1.1770925084420014e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_0_prompt_token_11_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_0_prompt_token_11_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_0_prompt_token_11_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_0_prompt_token_11_attn_x_grad.png
0,12,0.025019502267241478,0.0333869531750679,2.813672779211629e-07,1.0666335583664477e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_0_prompt_token_12_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_0_prompt_token_12_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_0_prompt_token_12_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_0_prompt_token_12_attn_x_grad.png
0,13,0.025200974196195602,0.033156249672174454,2.9830218295501254e-07,1.1754803381336387e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_0_prompt_token_13_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_0_prompt_token_13_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_0_prompt_token_13_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_0_prompt_token_13_attn_x_grad.png
0,14,0.027601638808846474,0.03635560721158981,3.4801939818862593e-07,1.4595691027352586e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_0_prompt_token_14_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_0_prompt_token_14_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_0_prompt_token_14_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_0_prompt_token_14_attn_x_grad.png
0,15,0.02956436388194561,0.0416836142539978,3.6850812534794386e-07,1.511750633653719e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_0_prompt_token_15_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_0_prompt_token_15_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_0_prompt_token_15_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_0_prompt_token_15_attn_x_grad.png
1,0,0.1875200718641281,0.320540189743042,1.4297236248239642e-06,5.555489406106062e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_0_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_0_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_0_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_0_attn_x_grad.png
1,1,0.010070964694023132,0.07161084562540054,9.587159865986905e-08,9.244239663530607e-06,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_1_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_1_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_1_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_1_attn_x_grad.png
1,2,0.018351880833506584,0.053533874452114105,1.3583050417764753e-07,1.7008733266266063e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_2_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_2_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_2_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_2_attn_x_grad.png
1,3,0.022459112107753754,0.0766001045703888,2.2799771670634073e-07,1.6092841178760864e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_3_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_3_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_3_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_3_attn_x_grad.png
1,4,0.015285100787878036,0.07839922606945038,1.8836263393495756e-07,1.2049539691361133e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_4_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_4_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_4_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_4_attn_x_grad.png
1,5,0.029625404626131058,0.058106452226638794,2.571790957972553e-07,1.3169335943530314e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_5_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_5_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_5_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_5_attn_x_grad.png
1,6,0.022752098739147186,0.03745945915579796,2.1143438289072947e-07,1.0020506124419626e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_6_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_6_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_6_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_6_attn_x_grad.png
1,7,0.025217121466994286,0.04085693508386612,2.3253534209288773e-07,1.0230388397758361e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_7_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_7_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_7_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_7_attn_x_grad.png
1,8,0.030268533155322075,0.0449666827917099,2.7501479848979216e-07,1.1563050975382794e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_8_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_8_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_8_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_8_attn_x_grad.png
1,9,0.028102422133088112,0.03923735395073891,2.6180214263149537e-07,1.1096924026787747e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_9_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_9_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_9_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_9_attn_x_grad.png
