layer_index,selected_query_index,row_used,text_seq_len,text_token_0,text_token_1,text_token_2,text_token_3,text_token_4,text_token_5,text_token_6,text_token_7,text_token_8,text_token_9,text_token_10,text_token_11,text_token_12,text_token_13,text_token_14,text_token_15,text_token_16,text_token_17,text_token_18,text_token_19,text_token_20,text_token_21,text_token_22,text_token_23,text_token_24,text_token_25,text_token_26,text_token_27,text_token_28,text_token_29,text_token_30,text_token_31,text_token_32
0,144,145,33,0.7967345714569092,0.010644644498825073,0.015433665364980698,0.040704913437366486,0.04518875107169151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09129345417022705
1,144,145,33,0.5557758808135986,0.05386396497488022,0.07207878679037094,0.04480356350541115,0.03314824029803276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24032960832118988
2,144,145,33,0.6171765327453613,0.003406729782000184,0.007354751229286194,0.004840671084821224,0.12735363841056824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23986761271953583
3,144,145,33,0.7487910389900208,0.01252646092325449,0.02158944122493267,0.03088858351111412,0.03308112546801567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15312334895133972
4,144,145,33,0.6924788951873779,0.014367219991981983,0.03229513764381409,0.026025187224149704,0.04296649992465973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19186706840991974
5,144,145,33,0.38265764713287354,0.08774581551551819,0.10404207557439804,0.114360511302948,0.11459888517856598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19659507274627686
