event_id,module_path,code_class,diagram_name,layer_index,attn_kind,attn_type,stream,query_shape,key_shape,value_shape,output_shape,attn_weights_shape,weights_returned,output_seq_matches_query
47,backbone.language_backbone.encoder.transformer.resblocks.15.attn,MultiheadAttention,Text Encoder Self-Attention,15,text_self_attn,self,text,1x32x1024,1x32x1024,1x32x1024,1x32x1024,1x16x32x32,True,True
48,backbone.language_backbone.encoder.transformer.resblocks.16.attn,MultiheadAttention,Text Encoder Self-Attention,16,text_self_attn,self,text,1x32x1024,1x32x1024,1x32x1024,1x32x1024,1x16x32x32,True,True
49,backbone.language_backbone.encoder.transformer.resblocks.17.attn,MultiheadAttention,Text Encoder Self-Attention,17,text_self_attn,self,text,1x32x1024,1x32x1024,1x32x1024,1x32x1024,1x16x32x32,True,True
50,backbone.language_backbone.encoder.transformer.resblocks.18.attn,MultiheadAttention,Text Encoder Self-Attention,18,text_self_attn,self,text,1x32x1024,1x32x1024,1x32x1024,1x32x1024,1x16x32x32,True,True
51,backbone.language_backbone.encoder.transformer.resblocks.19.attn,MultiheadAttention,Text Encoder Self-Attention,19,text_self_attn,self,text,1x32x1024,1x32x1024,1x32x1024,1x32x1024,1x16x32x32,True,True
52,backbone.language_backbone.encoder.transformer.resblocks.20.attn,MultiheadAttention,Text Encoder Self-Attention,20,text_self_attn,self,text,1x32x1024,1x32x1024,1x32x1024,1x32x1024,1x16x32x32,True,True
53,backbone.language_backbone.encoder.transformer.resblocks.21.attn,MultiheadAttention,Text Encoder Self-Attention,21,text_self_attn,self,text,1x32x1024,1x32x1024,1x32x1024,1x32x1024,1x16x32x32,True,True
54,backbone.language_backbone.encoder.transformer.resblocks.22.attn,MultiheadAttention,Text Encoder Self-Attention,22,text_self_attn,self,text,1x32x1024,1x32x1024,1x32x1024,1x32x1024,1x16x32x32,True,True
55,backbone.language_backbone.encoder.transformer.resblocks.23.attn,MultiheadAttention,Text Encoder Self-Attention,23,text_self_attn,self,text,1x32x1024,1x32x1024,1x32x1024,1x32x1024,1x16x32x32,True,True
56,geometry_encoder.encode.0.self_attn,MultiheadAttentionWrapper,Geometry Encoder Self-Attention,0,self_attn,self,geometry,1x1x256,1x1x256,1x1x256,1x1x256,1x8x1x1,True,True
57,geometry_encoder.encode.0.cross_attn_image,MultiheadAttentionWrapper,Geometry Encoder Cross-Attention to Image,0,cross_attn_image,cross,geometry,1x1x256,5184x1x256,5184x1x256,1x1x256,1x8x1x5184,True,True
58,geometry_encoder.encode.1.self_attn,MultiheadAttentionWrapper,Geometry Encoder Self-Attention,1,self_attn,self,geometry,1x1x256,1x1x256,1x1x256,1x1x256,1x8x1x1,True,True
59,geometry_encoder.encode.1.cross_attn_image,MultiheadAttentionWrapper,Geometry Encoder Cross-Attention to Image,1,cross_attn_image,cross,geometry,1x1x256,5184x1x256,5184x1x256,1x1x256,1x8x1x5184,True,True
60,geometry_encoder.encode.2.self_attn,MultiheadAttentionWrapper,Geometry Encoder Self-Attention,2,self_attn,self,geometry,1x1x256,1x1x256,1x1x256,1x1x256,1x8x1x1,True,True
61,geometry_encoder.encode.2.cross_attn_image,MultiheadAttentionWrapper,Geometry Encoder Cross-Attention to Image,2,cross_attn_image,cross,geometry,1x1x256,5184x1x256,5184x1x256,1x1x256,1x8x1x5184,True,True
62,transformer.encoder.layers.0.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,0,self_attn,self,fused,1x5184x256,1x5184x256,1x5184x256,1x5184x256,1x8x5184x5184,True,True
63,transformer.encoder.layers.0.cross_attn_image,MultiheadAttentionWrapper,Multimodal Decoder Cross-Attention to Image,0,cross_attn_image,cross,fused,1x5184x256,1x33x256,1x33x256,1x5184x256,1x8x5184x33,True,True
64,transformer.encoder.layers.1.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,1,self_attn,self,fused,1x5184x256,1x5184x256,1x5184x256,1x5184x256,1x8x5184x5184,True,True
65,transformer.encoder.layers.1.cross_attn_image,MultiheadAttentionWrapper,Multimodal Decoder Cross-Attention to Image,1,cross_attn_image,cross,fused,1x5184x256,1x33x256,1x33x256,1x5184x256,1x8x5184x33,True,True
66,transformer.encoder.layers.2.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,2,self_attn,self,fused,1x5184x256,1x5184x256,1x5184x256,1x5184x256,1x8x5184x5184,True,True
67,transformer.encoder.layers.2.cross_attn_image,MultiheadAttentionWrapper,Multimodal Decoder Cross-Attention to Image,2,cross_attn_image,cross,fused,1x5184x256,1x33x256,1x33x256,1x5184x256,1x8x5184x33,True,True
