event_id,t_ms,code_name,code_class,diagram_name,source_class,group,layer_index,kind,tensor_idx,tensor_name,shape,dtype,device,requires_grad,mean,std,min,max
37,347.590,geometry_encoder.encode_norm,LayerNorm,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,input,0,[0],1x1x256,float32,cuda:0,False,0.02333708107471466,1.6590906381607056,-12.170638084411621,19.230667114257812
38,347.747,geometry_encoder.encode_norm,LayerNorm,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,output,0,tensor,1x1x256,float32,cuda:0,False,-0.005063887685537338,0.9334384202957153,-6.42909574508667,10.193608283996582
39,347.842,geometry_encoder,SequenceGeometryEncoder,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,output,0,[0],1x1x256,float32,cuda:0,False,-0.005063887685537338,0.9334384202957153,-6.42909574508667,10.193608283996582
39,347.842,geometry_encoder,SequenceGeometryEncoder,Geometry Prompt Encoder,prompt_geom,prompt_encoder,,output,1,[1],1x1,bool,cuda:0,False,,,,
40,353.979,transformer.encoder.layers.0.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,0,input,0,[0],1x5184x256,float32,cuda:0,False,0.4859410524368286,0.9036470651626587,-4.789548873901367,6.050868034362793
40,353.979,transformer.encoder.layers.0.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,0,input,1,[1],1x5184x256,float32,cuda:0,False,0.4859410524368286,0.9036470651626587,-4.789548873901367,6.050868034362793
41,355.132,transformer.encoder.layers.0.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,0,output,0,[0],1x5184x256,float32,cuda:0,False,0.0006378925172612071,0.0787377581000328,-0.49534404277801514,0.5322645306587219
41,355.132,transformer.encoder.layers.0.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,0,output,1,[1],1x8x5184x5184,float32,cuda:0,False,0.0001929012214532122,0.00039682118222117424,3.4842426543946203e-07,0.05714698135852814
42,367.689,transformer.encoder.layers.0.cross_attn_image,MultiheadAttentionWrapper,Multimodal Decoder Cross-Attention to Image,fused,multimodal_decoder,0,output,0,[0],1x5184x256,float32,cuda:0,False,-0.001519433339126408,0.29305920004844666,-1.6668390035629272,2.043583393096924
42,367.689,transformer.encoder.layers.0.cross_attn_image,MultiheadAttentionWrapper,Multimodal Decoder Cross-Attention to Image,fused,multimodal_decoder,0,output,1,[1],1x8x5184x33,float32,cuda:0,False,0.03030303120613098,0.10162810236215591,0.0,0.9988142251968384
