layer,layer_name,mean_delta,max_delta,mean_grad,max_grad,mean_delta_grad,max_delta_grad,spatial_h,spatial_w,target_mask_index
0,transformer.encoder.layers.0,3.459981918334961,7.647314071655273,1.1482501577120274e-05,0.00045238222810439765,4.651709969039075e-05,0.002689701970666647,72,72,0
1,transformer.encoder.layers.1,7.034674167633057,11.451083183288574,9.916814633470494e-06,0.00042560193105600774,8.017426443984732e-05,0.004037187900394201,72,72,0
2,transformer.encoder.layers.2,8.788411140441895,13.885368347167969,8.602891284681391e-06,0.00039998115971684456,8.826568955555558e-05,0.004913925658911467,72,72,0
3,transformer.encoder.layers.3,13.581534385681152,23.052473068237305,5.812571089336416e-06,0.0001801924081519246,9.021327423397452e-05,0.0030015194788575172,72,72,0
4,transformer.encoder.layers.4,19.56027603149414,33.236846923828125,4.27649592893431e-06,0.00017755848239175975,9.404551383340731e-05,0.0036872406490147114,72,72,0
5,transformer.encoder.layers.5,27.45838737487793,54.02545166015625,2.6078585051436676e-06,0.0001226193126058206,8.658255683258176e-05,0.0035248245112597942,72,72,0
