layer,layer_name,shape,mean_abs_grad,max_abs_grad,l2_grad,target_mask_index
0,transformer.encoder.layers.0,"(1, 5184, 256)",1.1482501577120274e-05,0.00045238222810439765,0.0023389020934700966,0
1,transformer.encoder.layers.1,"(1, 5184, 256)",9.916814633470494e-06,0.00042560193105600774,0.001969878328964114,0
2,transformer.encoder.layers.2,"(1, 5184, 256)",8.602891284681391e-06,0.00039998115971684456,0.0017032199539244175,0
3,transformer.encoder.layers.3,"(1, 5184, 256)",5.812571089336416e-06,0.0001801924081519246,0.0010072840377688408,0
4,transformer.encoder.layers.4,"(1, 5184, 256)",4.27649592893431e-06,0.00017755848239175975,0.0007241657585836947,0
5,transformer.encoder.layers.5,"(1, 5184, 256)",2.6078585051436676e-06,0.0001226193126058206,0.0003832283546216786,0
