layer,k,top_score_drop,random_score_drop_mean,score_drop_advantage,top_iou_drop,random_iou_drop_mean,iou_drop_advantage
0,50,0.000241205096244812,0.0001455893119176229,9.561578432718912e-05,0.00024384260177612305,8.130073547363281e-05,0.00016254186630249023
0,100,0.00028586387634277344,0.0003349532683690389,-4.9089392026265444e-05,0.00047475099563598633,0.00018397967020670572,0.00029077132542928064
0,200,0.0007493495941162109,0.000626454750696818,0.00012289484341939294,0.0008267760276794434,0.00030974547068277997,0.0005170305569966633
0,500,0.0058186352252960205,0.0015165507793426514,0.004302084445953369,0.0027138590812683105,0.0006862481435139974,0.002027610937754313
1,50,-8.016824722290039e-05,0.0001642902692159017,-0.0002444585164388021,0.00037854909896850586,0.00010140736897786458,0.0002771417299906413
1,100,1.7434358596801758e-05,0.00032593806584676105,-0.0003085037072499593,0.0006645321846008301,0.00015938282012939453,0.0005051493644714355
1,200,0.0007456392049789429,0.0005191365877787272,0.0002265026172002157,0.0011759400367736816,0.00028322140375773114,0.0008927186330159504
1,500,0.0067728012800216675,0.0014216800530751546,0.005351121226946513,0.002723515033721924,0.0006721218427022299,0.002051393191019694
2,50,-7.461011409759521e-05,0.00013042489687601724,-0.00020503501097361246,0.00039714574813842773,7.895628611246745e-05,0.00031818946202596027
2,100,2.6777386665344238e-05,0.00029291709264119464,-0.0002661397059758504,0.0006844401359558105,0.0001538395881652832,0.0005306005477905273
2,200,0.0007307976484298706,0.0005438079436620077,0.00018698970476786292,0.001231074333190918,0.0002917647361755371,0.0009393095970153809
2,500,0.006499990820884705,0.0014984458684921265,0.005001544952392578,0.002759277820587158,0.0007168253262837728,0.0020424524943033853
3,50,-0.0002887845039367676,0.0001489718755086263,-0.0004377563794453939,0.0005587935447692871,9.179115295410156e-05,0.00046700239181518555
3,100,6.273388862609863e-06,0.00029585758845011395,-0.0002895841995875041,0.0006716251373291016,0.00014098485310872397,0.0005306402842203776
3,200,0.000468328595161438,0.0006405115127563477,-0.00017218291759490967,0.001256704330444336,0.00031934181849161786,0.000937362511952718
3,500,0.0071126967668533325,0.001420632004737854,0.0056920647621154785,0.002873659133911133,0.0006917913754781088,0.002181867758433024
4,50,-0.00035919249057769775,0.0001655668020248413,-0.0005247592926025391,0.0005112886428833008,0.00010333458582560222,0.00040795405705769855
4,100,-0.0001719444990158081,0.0003280738989512126,-0.0005000183979670207,0.0005805492401123047,0.0001760721206665039,0.0004044771194458008
4,200,0.0004498213529586792,0.0006242642800013224,-0.0001744429270426432,0.0013034343719482422,0.00029520193735758465,0.0010082324345906575
4,500,0.006532609462738037,0.0015007505814234416,0.005031858881314595,0.002701997756958008,0.0006975531578063965,0.0020044445991516113
5,50,-0.00012524425983428955,0.00012663006782531738,-0.00025187432765960693,0.00038111209869384766,7.402896881103516e-05,0.0003070831298828125
5,100,-7.079541683197021e-05,0.00034391383330027264,-0.00041470925013224286,0.0005959868431091309,0.00017970800399780273,0.0004162788391113281
5,200,0.00031641125679016113,0.0005586395661036173,-0.00024222830931345618,0.001227259635925293,0.0002740224202473958,0.0009532372156778972
5,500,0.005530849099159241,0.0014850199222564697,0.004045829176902771,0.002613961696624756,0.0006994803746541342,0.0019144813219706216
